date,RSV Detections,RSV Tests,Surveillance Year,Week ending Code ,temp_c,vapor_pressure_hpa
2013-05-25,139,5816,1213,1321,17.902668210259378,13.383834027066223
2013-06-01,115,5415,1213,1322,20.53300082895828,15.621823502175996
2013-06-08,118,5012,1213,1323,20.06165240745356,15.088295355149556
2013-06-15,121,4725,1213,1324,22.515193209242973,16.994378594665903
2013-06-22,83,4311,1213,1325,22.81873453615412,17.27817954855074
2013-06-29,66,3984,1213,1326,24.71348623089936,20.21858656557073
2013-07-06,52,2577,1314,1327,24.44557674186575,19.88518541232452
2013-07-13,46,2580,1314,1328,24.95692243767313,20.50307305127361
2013-07-20,51,2459,1314,1329,25.96705719812103,21.745627745846683
2013-07-27,62,2443,1314,1330,23.0741877206148,18.723520452762013
2013-08-03,66,2478,1314,1331,23.021913082187968,18.744168493100315
2013-08-10,54,2481,1314,1332,23.38318441196938,19.175277092168383
2013-08-17,50,2510,1314,1333,22.1045632333768,17.317382342761864
2013-08-24,78,2569,1314,1334,23.87388833166165,19.39478498758505
2013-08-31,94,2919,1314,1335,24.701659264225256,21.02277095876724
2013-09-07,113,3340,1314,1336,22.70127030113937,18.070303234084967
2013-09-14,112,3313,1314,1337,21.50667816795593,17.403364559989203
2013-09-21,154,3727,1314,1338,18.87119616429245,14.832248985673187
2013-09-28,145,3956,1314,1339,17.130962076511814,12.899100292105128
2013-10-05,184,4300,1314,1340,17.502130385140216,13.710560764754318
2013-10-12,249,4810,1314,1341,15.10177187769045,11.565729998030514
2013-10-19,310,5478,1314,1342,12.604717190798976,10.27958143531513
2013-10-26,417,5557,1314,1343,9.731850188511864,7.660137763472063
2013-11-02,459,6035,1314,1344,10.775117904899297,9.077266471056204
2013-11-09,582,6600,1314,1345,8.492428270743325,7.170325061170824
2013-11-16,734,6933,1314,1346,7.377114814095989,6.599869374602508
2013-11-23,887,7230,1314,1347,4.740167932162057,5.602985143745596
2013-11-30,955,7147,1314,1348,1.833882595262616,4.73267481412459
2013-12-07,1282,8863,1314,1349,1.5366853606652486,5.183410930622956
2013-12-14,1364,9306,1314,1350,-1.9709622088197865,3.7219263396863353
2013-12-21,1718,10752,1314,1351,2.7231182052062297,5.379685093465204
2013-12-28,2054,11375,1314,1352,0.3736116472729278,4.382302118390977
2014-01-04,2278,13545,1314,1401,-2.260560926236604,3.5077998775269874
2014-01-11,1902,13579,1314,1402,-0.5032502526103064,3.951057891244872
2014-01-18,1810,13119,1314,1403,2.450728250518178,4.669794853024309
2014-01-25,1827,12578,1314,1404,-2.316564193267638,3.013264757567407
2014-02-01,1757,11793,1314,1405,-1.9957818263734408,3.315212674174764
2014-02-08,1629,10785,1314,1406,-3.378713011068444,3.444743458100509
2014-02-15,1574,10336,1314,1407,-0.6369036878312846,3.9472163164157306
2014-02-22,1534,9889,1314,1408,5.110815987381348,5.454456579702693
2014-03-01,1368,9227,1314,1409,-0.5873604060913705,3.559193715673617
2014-03-08,1219,8882,1314,1410,1.7443492036549832,4.493609098286982
2014-03-15,1012,8742,1314,1411,6.904224201093388,5.7436674595889405
2014-03-22,889,8264,1314,1412,5.847824006305596,5.365616682529009
2014-03-29,703,7928,1314,1413,6.067146073740501,5.597205109545376
2014-04-05,486,7397,1314,1414,9.301792044111854,7.172865869433787
2014-04-12,417,7135,1314,1415,13.176062199476984,8.33394024894225
2014-04-19,350,6522,1314,1416,10.85660959865282,7.427166433224047
2014-04-26,268,6088,1314,1417,14.016710270908938,9.200287068522288
2014-05-03,179,5911,1314,1418,13.899583649815735,9.4248071263339
2014-05-10,157,5422,1314,1419,17.006946050368033,11.655302032415552
2014-05-17,110,4999,1314,1420,15.887126960040469,11.033892153592028
2014-05-24,100,4814,1314,1421,19.136695399082058,13.343462706547976
2014-05-31,66,4667,1314,1422,20.95537783764065,15.765428572140353
2014-06-07,51,4240,1314,1423,21.471716375914465,15.960706609781504
2014-06-14,54,4012,1314,1424,20.833602407605333,15.860578453661564
2014-06-21,47,4926,1314,1425,22.9640605296343,17.726936568535116
2014-06-28,39,4251,1314,1426,23.20459679685305,19.103096706872577
2014-07-05,52,4612,1415,1427,23.879377147040604,18.301798165366964
2014-07-12,53,4811,1415,1428,24.60747920086026,19.752826673014816
2014-07-19,53,4626,1415,1429,22.59042884826017,18.016017032860265
2014-07-26,71,5059,1415,1430,24.41264451883316,19.639473936855765
2014-08-02,60,4049,1415,1431,22.68352223190933,18.23199167124494
2014-08-09,33,4278,1415,1432,23.459123122785307,19.35615461400021
2014-08-16,48,5503,1415,1433,22.77775592763232,18.49132019267161
2014-08-23,48,4274,1415,1434,23.644590910368475,20.24161219157244
2014-08-30,65,4920,1415,1435,23.00376285030277,18.80252096940912
2014-09-06,58,5272,1415,1436,22.699524827082048,18.660394740819505
2014-09-13,96,6588,1415,1437,18.80964783565664,14.981735443808711
2014-09-20,104,7215,1415,1438,19.35707245642196,15.44446467454233
2014-09-27,146,7133,1415,1439,18.892608450704223,14.6761747875395
2014-10-04,183,7294,1415,1440,16.236341855286522,12.582022564650172
2014-10-11,270,7901,1415,1441,15.45586402425331,11.720929147257026
2014-10-18,320,8240,1415,1442,15.086262410949685,11.692827086600122
2014-10-25,375,7849,1415,1443,13.872869087032154,10.49806190375744
2014-11-01,462,7897,1415,1444,10.628784785344708,8.130367664203769
2014-11-08,616,8702,1415,1445,9.538366670412406,7.533257240727836
2014-11-15,752,9117,1415,1446,3.0900168728908888,5.056998841419807
2014-11-22,876,9955,1415,1447,2.820473659044244,4.804612877926241
2014-11-29,1043,10577,1415,1448,4.944266996569757,5.701781089327604
2014-12-06,1242,12544,1415,1449,4.49965669583814,6.3380008331629325
2014-12-13,1549,14510,1415,1450,4.614928062617901,6.355810619787428
2014-12-20,1901,16820,1415,1451,3.2410188498492576,5.978119394828251
2014-12-27,2501,18293,1415,1452,4.74033197355465,6.57210841791864
2015-01-03,3079,19557,1415,1453,-1.3807968998984217,3.904985140524398
2015-01-10,2673,19135,1415,1501,-3.561794985332374,2.9827956053848954
2015-01-17,2701,18049,1415,1502,0.7285476994629312,4.612332649765627
